sample_index,monotonic_timestamp,session_elapsed_seconds,tp9,af7,af8,tp10,aux_right,headband_on,hsi_tp9,hsi_af7,hsi_af8,hsi_tp10,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,blink,jaw_clench
32,0.125,0.125,82.403833,73.541091,71.604502,91.266575,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
33,0.12890625,0.12890625,84.398118,76.397181,74.660643,92.399055,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
34,0.1328125,0.1328125,82.942486,76.6561,74.774612,89.228871,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
35,0.13671875,0.13671875,79.087916,75.116726,72.850384,83.059105,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
36,0.140625,0.140625,74.41153,72.995291,70.261905,75.82777,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
37,0.14453125,0.14453125,70.689115,71.664738,68.559696,69.713491,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
38,0.1484375,0.1484375,69.528286,72.36266,69.14211,66.693912,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
39,0.15234375,0.15234375,72.033512,75.924744,72.955281,68.142281,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
40,0.15625,0.15625,78.568081,82.595751,80.2803,74.54041,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
41,0.16015625,0.16015625,88.659481,91.955181,90.649414,85.36378,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
42,0.1640625,0.1640625,101.067109,102.972683,102.908211,99.161535,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
43,0.16796875,0.16796875,113.999971,114.183328,115.412665,113.816613,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
44,0.171875,0.171875,125.443175,123.949761,126.323928,126.936589,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
45,0.17578125,0.17578125,133.531048,130.761431,133.944885,136.300666,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
46,0.1796875,0.1796875,136.895625,133.513921,137.034319,140.277329,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
47,0.18359375,0.18359375,134.92388,131.715024,135.038723,138.132736,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
48,0.1875,0.1875,127.874476,125.578199,128.19742,130.170753,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
49,0.19140625,0.19140625,116.831632,115.98547,117.500857,117.677794,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
50,0.1953125,0.1953125,103.50487,104.326792,104.50994,102.682947,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
51,0.19921875,0.19921875,89.912852,92.246466,91.070836,87.579239,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
52,0.203125,0.203125,78.011676,81.344906,78.979569,74.678446,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
53,0.20703125,0.20703125,69.338514,72.892507,69.660252,65.78452,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
54,0.2109375,0.2109375,64.738482,67.609945,63.91807,61.867019,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
55,0.21484375,0.21484375,64.226516,65.556359,61.813657,62.896672,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
56,0.21875,0.21875,67.010078,66.146133,62.682144,67.874023,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
57,0.22265625,0.22265625,71.667579,68.290204,65.292306,75.044955,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
58,0.2265625,0.2265625,76.447478,70.633924,68.114343,82.261032,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
59,0.23046875,0.23046875,79.629859,71.844952,69.643921,87.414767,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
60,0.234375,0.234375,79.880321,70.895075,68.719388,88.865566,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
61,0.23828125,0.23828125,76.527505,67.281083,64.770397,85.773928,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
62,0.2421875,0.2421875,69.710377,61.141588,57.949455,78.279166,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
63,0.24609375,0.24609375,60.366406,53.246764,49.120485,67.486048,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
64,0.25,0.25,50.0625,44.8625,39.706066,55.2625,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
65,0.25390625,0.25390625,40.700825,37.51469,31.422308,43.88696,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
66,0.2578125,0.2578125,34.155803,32.69871,25.952029,35.612896,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
67,0.26171875,0.26171875,31.911927,31.589793,24.618911,32.234062,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
68,0.265625,0.265625,34.77201,34.809989,28.125286,34.734031,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
69,0.26953125,0.26953125,42.692079,42.29668,36.404137,43.087477,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
70,0.2734375,0.2734375,54.774947,53.298243,48.614123,56.25165,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
71,0.27734375,0.27734375,69.424138,66.498185,63.279105,72.350091,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
72,0.28125,0.28125,84.629141,80.244508,78.54603,89.013774,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
73,0.28515625,0.28515625,98.327846,92.840939,92.512416,103.814753,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
74,0.2890625,0.2890625,108.777269,102.844881,103.561367,114.709657,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
75,0.29296875,0.29296875,114.862118,109.315687,110.640708,120.408548,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
76,0.296875,0.296875,116.282715,111.966425,113.433537,120.599006,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
77,0.30078125,0.30078125,113.586969,111.190838,112.388388,115.983101,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
78,0.3046875,0.3046875,108.041002,107.961167,108.604116,108.120837,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
79,0.30859375,0.30859375,101.363996,103.617221,103.592445,99.110771,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
80,0.3125,0.3125,95.378814,99.58792,98.964584,91.169708,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
81,0.31640625,0.31640625,91.646056,97.099406,96.102733,86.192707,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
82,0.3203125,0.3203125,91.152284,96.926279,95.88015,85.378289,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
83,0.32421875,0.32421875,94.112642,99.234128,98.483935,88.991156,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
84,0.328125,0.328125,99.926007,103.543839,103.374864,96.308174,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
85,0.33203125,0.33203125,107.291385,108.824662,109.392088,105.758107,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
86,0.3359375,0.3359375,114.463173,113.698128,114.982575,115.228218,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
87,0.33984375,0.33984375,119.596114,116.713473,118.511038,122.478756,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
88,0.34375,0.34375,121.113414,116.641393,118.590491,125.585435,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
89,0.34765625,0.34765625,118.026932,112.729245,114.369478,123.324618,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
90,0.3515625,0.3515625,110.147445,104.868144,105.720193,115.426747,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
91,0.35546875,0.35546875,98.144017,93.639207,93.290656,102.648827,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
92,0.359375,0.359375,83.440373,80.229302,78.41011,86.651443,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
93,0.36328125,0.36328125,67.967468,66.231696,62.864916,69.70324,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
94,0.3671875,0.3671875,53.818988,53.369021,48.587075,54.268956,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
95,0.37109375,0.37109375,42.875158,43.190922,37.314254,42.559393,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
96,0.375,0.375,36.466333,36.803591,30.285682,36.129075,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
97,0.37890625,0.37890625,35.140259,34.682338,28.031441,35.598179,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
98,0.3828125,0.3828125,38.577,36.602444,30.294819,40.551557,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
99,0.38671875,0.38671875,45.667301,41.700927,36.10191,49.633676,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
100,0.390625,0.390625,54.738822,48.656816,43.964508,60.820829,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
101,0.39453125,0.39453125,63.886422,55.954876,52.176863,71.817968,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
102,0.3984375,0.3984375,71.342798,62.181861,59.148999,80.503736,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
103,0.40234375,0.40234375,75.818169,66.298239,63.712407,85.3381,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
104,0.40625,0.40625,76.743764,67.833216,65.339414,85.654313,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
105,0.41015625,0.41015625,74.372488,66.965727,64.234247,81.77925,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
106,0.4140625,0.4140625,69.717685,64.476138,61.278606,74.959233,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
107,0.41796875,0.41796875,64.342129,61.578333,57.842651,67.105925,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
108,0.421875,0.421875,60.038244,59.664956,55.498269,60.411532,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
109,0.42578125,0.42578125,58.461546,60.015383,55.690389,56.907708,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
110,0.4296875,0.4296875,60.788339,63.523205,59.43023,58.053472,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
111,0.43359375,0.43359375,67.464125,70.496351,67.070273,64.431898,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
112,0.4375,0.4375,78.091789,80.569067,78.205051,75.614511,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
113,0.44140625,0.44140625,91.481809,92.743494,91.717754,90.220123,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
114,0.4453125,0.4453125,105.855609,105.553719,105.96461,106.157499,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
115,0.44921875,0.44921875,119.163753,117.321589,119.062525,121.005918,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
116,0.453125,0.453125,129.458563,126.455951,129.225574,132.461175,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
117,0.45703125,0.45703125,135.250219,131.738498,135.086471,138.761941,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
118,0.4609375,0.4609375,135.77851,132.54195,135.941915,139.015071,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
119,0.46484375,0.46484375,131.148449,128.93911,131.875209,133.357788,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
120,0.46875,0.46875,122.304035,121.682205,123.73298,122.925866,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
121,0.47265625,0.47265625,110.845377,112.056665,112.96067,109.634089,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
122,0.4765625,0.4765625,98.724331,101.637488,101.32846,95.811175,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
123,0.48046875,0.48046875,87.877027,91.99485,90.600142,83.759204,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
124,0.484375,0.484375,79.863617,84.405288,82.208266,75.321947,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
125,0.48828125,0.48828125,75.584094,79.623512,76.997542,71.544676,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
126,0.4921875,0.4921875,75.124282,77.758177,75.085209,72.490386,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
127,0.49609375,0.49609375,77.761037,78.274868,75.864535,77.247205,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
128,0.5,0.5,82.125,80.125,78.15,84.125,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
129,0.50390625,0.50390625,86.488963,81.975132,80.435443,91.002795,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
130,0.5078125,0.5078125,89.125718,82.491823,81.214701,95.759614,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
131,0.51171875,0.51171875,88.665906,80.626488,79.302255,96.705324,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
132,0.515625,0.515625,84.386383,75.844712,74.091373,92.928053,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
133,0.51953125,0.51953125,76.372973,68.25515,65.699294,84.490796,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
134,0.5234375,0.5234375,65.525669,58.612512,54.970727,72.438825,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
135,0.52734375,0.52734375,53.404623,48.193335,43.338224,58.615911,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
136,0.53125,0.53125,41.945965,38.567795,32.565576,45.324134,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
137,0.53515625,0.53515625,33.101551,31.31089,24.422963,34.892212,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
138,0.5390625,0.5390625,28.47149,27.70805,20.355829,29.234929,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
139,0.54296875,0.54296875,28.999781,28.511502,21.2108,29.488059,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
140,0.546875,0.546875,34.791437,33.794049,27.071179,35.788825,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
141,0.55078125,0.55078125,45.086247,42.928411,37.233666,47.244082,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
142,0.5546875,0.5546875,58.394391,54.696281,50.330973,62.092501,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
143,0.55859375,0.55859375,72.768191,67.506506,64.577177,78.029877,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
144,0.5625,0.5625,86.158211,79.680933,78.089184,92.635489,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
145,0.56640625,0.56640625,96.785875,89.753649,89.223222,103.818102,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
146,0.5703125,0.5703125,103.461661,96.726795,96.86248,110.196528,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
147,0.57421875,0.57421875,105.788454,100.234617,100.601493,111.342292,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
148,0.578125,0.578125,104.211756,100.585044,100.79274,107.838468,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
149,0.58203125,0.58203125,99.907871,98.671667,98.447442,101.144075,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
150,0.5859375,0.5859375,94.532315,95.773862,95.010527,93.290767,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
151,0.58984375,0.58984375,89.877512,93.284273,92.053882,86.47075,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
152,0.59375,0.59375,87.506236,92.416784,90.947668,82.595687,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
153,0.59765625,0.59765625,88.431831,93.951761,92.573585,82.9119,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
154,0.6015625,0.6015625,92.907202,98.068139,97.135859,87.746264,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
155,0.60546875,0.60546875,100.363578,104.295124,104.106819,96.432032,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
156,0.609375,0.609375,109.511178,111.593184,112.317955,107.429171,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
157,0.61328125,0.61328125,118.582699,118.549073,120.179292,118.616324,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
158,0.6171875,0.6171875,125.673,123.647556,125.985079,127.698443,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
159,0.62109375,0.62109375,129.109741,125.567662,128.247111,132.651821,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
160,0.625,0.625,127.783667,123.446409,125.991482,132.120925,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
161,0.62890625,0.62890625,121.374842,117.059078,118.96148,125.690607,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
162,0.6328125,0.6328125,110.431012,106.880979,107.687188,113.981044,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
163,0.63671875,0.63671875,96.282532,94.018304,93.407835,98.54676,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
164,0.640625,0.640625,80.809627,80.020698,77.861087,81.598557,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
165,0.64453125,0.64453125,66.105983,66.610793,62.978946,65.601173,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
166,0.6484375,0.6484375,54.102555,55.381856,50.547775,52.823253,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
167,0.65234375,0.65234375,46.223068,47.520755,41.896814,44.925382,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
168,0.65625,0.65625,43.136586,43.608607,37.674085,42.664565,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
169,0.66015625,0.66015625,44.653886,43.536527,37.751783,45.771244,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
170,0.6640625,0.6640625,49.786827,46.551872,41.278451,53.021782,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
171,0.66796875,0.66796875,56.958615,51.425338,46.867104,62.491893,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
172,0.671875,0.671875,64.323993,56.706161,52.882454,71.941826,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
173,0.67578125,0.67578125,70.137358,61.015872,57.771471,79.258844,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
174,0.6796875,0.6796875,73.097716,63.323721,60.373306,82.871711,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
175,0.68359375,0.68359375,72.603944,63.150594,60.148734,82.057293,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
176,0.6875,0.6875,68.871186,60.66208,57.284857,77.080292,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
177,0.69140625,0.69140625,62.886004,56.632779,52.654931,69.139229,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
178,0.6953125,0.6953125,56.208998,52.288833,47.64116,60.129163,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
179,0.69921875,0.69921875,50.663031,49.059162,43.854749,52.266899,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
180,0.703125,0.703125,47.967285,48.283575,42.807425,47.650994,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
181,0.70703125,0.70703125,49.387882,50.934313,45.598043,47.841452,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
182,0.7109375,0.7109375,55.472731,57.405119,52.675137,53.540343,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
183,0.71484375,0.71484375,65.922154,67.409061,63.721805,64.435247,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
184,0.71875,0.71875,79.620859,80.005492,77.685873,79.236226,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
185,0.72265625,0.72265625,94.825862,93.751815,92.950445,95.899909,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
186,0.7265625,0.7265625,109.475053,106.951757,107.613039,111.99835,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
187,0.73046875,0.73046875,121.557921,117.95332,119.820604,125.162523,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
188,0.734375,0.734375,129.47799,125.440011,128.096999,133.515969,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
189,0.73828125,0.73828125,132.338073,128.660207,131.600886,136.015938,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
